car_id,engine,displacement,net_torque,horsepower
747,V8,4.2,302.0,340.0
748,V8,4.2,302.0,340.0
749,V6,2.7,258.0,250.0
750,V6,2.7,258.0,250.0
751,V6,2.7,258.0,250.0
752,V6,2.7,258.0,250.0
753,V6,2.7,258.0,250.0
754,V6,2.7,258.0,250.0
755,V6,2.7,258.0,250.0
756,V6,2.7,258.0,250.0
757,V6,2.7,258.0,250.0
758,V6,2.7,258.0,250.0
759,,,,
760,,,,
761,,,,
762,l4,2.0,273.0,248.0
763,V6,3.0,325.0,329.0
764,V6,3.0,325.0,329.0
765,V6,3.0,325.0,329.0
766,l4,2.0,273.0,248.0
767,l4,2.0,273.0,252.0
768,V6,3.0,325.0,333.0
769,V6,3.0,325.0,333.0
770,V6,3.0,325.0,333.0
771,l4,2.0,273.0,252.0
772,V6,3.0,406.0,240.0
773,V6,3.0,325.0,333.0
774,V6,3.0,295.0,280.0
775,V6,3.0,295.0,280.0
776,V6,3.0,406.0,240.0
777,V6,3.0,406.0,240.0
778,V6,3.0,406.0,240.0
779,V6,3.0,325.0,333.0
780,V6,3.0,295.0,280.0
781,V6,3.0,295.0,280.0
782,V6,3.0,406.0,240.0
783,V6,3.0,406.0,240.0
784,V6,3.0,406.0,240.0
785,V6,3.0,325.0,333.0
786,V6,3.0,295.0,280.0
787,V6,3.0,295.0,280.0
788,V6,3.0,406.0,240.0
789,V6,3.0,406.0,240.0
790,V6,3.0,406.0,225.0
791,V6,3.0,325.0,333.0
792,V6,3.0,295.0,280.0
793,V6,3.0,295.0,280.0
794,V6,3.0,406.0,225.0
795,V6,3.0,406.0,225.0
796,V6,3.0,406.0,225.0
797,V6,3.0,325.0,333.0
798,V6,3.0,295.0,272.0
799,V6,3.0,295.0,272.0
800,V6,3.0,406.0,225.0
801,V6,3.0,406.0,225.0
802,V6,3.0,406.0,225.0
803,V8,4.2,325.0,350.0
804,V6,3.6,266.0,280.0
805,V6,3.6,266.0,280.0
806,V6,3.6,266.0,280.0
807,V6,3.0,406.0,225.0
808,V6,3.0,406.0,225.0
809,V6,3.0,406.0,225.0
810,V8,4.2,325.0,350.0
811,V6,3.6,266.0,280.0
812,V6,3.6,266.0,280.0
813,V6,3.6,266.0,280.0
814,V6,3.6,266.0,280.0
815,V6,3.0,406.0,225.0
816,V6,3.0,406.0,225.0
817,V6,3.6,266.0,280.0
818,V8,4.2,325.0,350.0
819,V6,3.6,266.0,280.0
820,V6,3.6,266.0,280.0
821,V8,4.2,325.0,350.0
822,V8,4.2,325.0,350.0
823,V6,3.6,266.0,280.0
824,l4,2.0,236.0,188.0
825,l4,2.0,273.0,248.0
826,l4,2.0,273.0,248.0
827,l4,2.0,273.0,248.0
828,l4,2.0,236.0,188.0
829,l4,2.0,236.0,188.0
830,l4,2.0,236.0,188.0
831,l4,2.0,273.0,252.0
832,l4,2.0,236.0,190.0
833,l4,2.0,236.0,190.0
